r_mm,mirror_before_um,mirror_after_um
0.444,271.19999999999993,274.3999999999999
0.446,271.19999999999993,274.3999999999999
0.448,271.19999999999993,274.3999999999999
0.45,271.19999999999993,274.3999999999999
0.452,271.19999999999993,274.3999999999999
0.454,271.19999999999993,274.3999999999999
0.456,271.19999999999993,274.3999999999999
0.458,271.19999999999993,274.3999999999999
0.46,271.19999999999993,274.3999999999999
0.462,271.19999999999993,274.3999999999999
0.464,271.19999999999993,274.3999999999999
0.466,271.19999999999993,274.3999999999999
0.468,271.19999999999993,274.3999999999999
0.47000000000000003,271.19999999999993,274.3999999999999
0.47200000000000003,271.19999999999993,274.3999999999999
0.47400000000000003,271.19999999999993,274.3999999999999
0.47600000000000003,271.19999999999993,274.3999999999999
0.47800000000000004,271.19999999999993,274.3999999999999
0.48,271.19999999999993,274.3999999999999
0.482,271.19999999999993,274.3999999999999
0.484,271.19999999999993,274.3999999999999
0.486,271.19999999999993,274.3999999999999
0.488,271.19999999999993,274.3999999999999
0.49,271.19999999999993,274.3999999999999
0.492,271.19999999999993,274.3999999999999
0.494,271.19999999999993,274.3999999999999
0.496,271.19999999999993,274.3999999999999
0.498,271.19999999999993,274.3999999999999
0.5,271.19999999999993,274.3999999999999
0.502,271.19999999999993,274.3999999999999
0.504,271.19999999999993,274.3999999999999
0.506,271.19999999999993,274.3999999999999
0.508,271.19999999999993,274.3999999999999
0.51,271.19999999999993,274.3999999999999
0.512,271.19999999999993,274.3999999999999
0.514,271.19999999999993,274.3999999999999
0.516,271.19999999999993,274.3999999999999
0.518,271.19999999999993,274.3999999999999
0.52,271.19999999999993,274.3999999999999
0.522,271.19999999999993,274.3999999999999
0.524,271.19999999999993,274.3999999999999
0.526,271.19999999999993,274.3999999999999
0.528,271.19999999999993,274.3999999999999
0.53,271.19999999999993,274.3999999999999
0.532,271.19999999999993,274.3999999999999
0.534,271.19999999999993,274.3999999999999
0.536,271.19999999999993,274.3999999999999
0.538,271.19999999999993,274.3999999999999
0.54,271.19999999999993,274.3999999999999
0.542,271.19999999999993,274.3999999999999
0.544,271.19999999999993,274.3999999999999
0.546,271.19999999999993,274.3999999999999
0.548,271.19999999999993,274.3999999999999
0.55,271.19999999999993,274.3999999999999
0.552,271.19999999999993,274.3999999999999
0.554,271.19999999999993,274.3999999999999
0.556,271.19999999999993,274.3999999999999
0.558,271.19999999999993,274.3999999999999
0.56,271.19999999999993,274.3999999999999
0.562,271.19999999999993,274.3999999999999
0.5640000000000001,271.19999999999993,274.3999999999999
0.5660000000000001,271.19999999999993,274.3999999999999
0.5680000000000001,271.19999999999993,274.3999999999999
0.5700000000000001,271.19999999999993,274.3999999999999
0.5720000000000001,271.19999999999993,274.3999999999999
0.5740000000000001,271.19999999999993,274.3999999999999
0.5760000000000001,271.19999999999993,274.3999999999999
0.578,271.19999999999993,274.3999999999999
0.58,271.19999999999993,274.3999999999999
0.582,271.19999999999993,274.3999999999999
0.584,271.19999999999993,274.3999999999999
0.586,271.19999999999993,274.3999999999999
0.588,271.19999999999993,274.3999999999999
0.59,271.19999999999993,274.3999999999999
0.592,271.19999999999993,274.3999999999999
0.594,271.19999999999993,274.3999999999999
0.596,271.19999999999993,274.3999999999999
0.598,271.19999999999993,274.3999999999999
0.6,271.19999999999993,274.3999999999999
0.602,271.19999999999993,274.3999999999999
0.604,271.19999999999993,274.3999999999999
0.606,271.19999999999993,274.3999999999999
0.608,271.19999999999993,274.3999999999999
0.61,271.19999999999993,274.3999999999999
0.612,271.19999999999993,274.3999999999999
0.614,271.19999999999993,274.3999999999999
0.616,271.19999999999993,274.3999999999999
0.618,271.19999999999993,274.3999999999999
0.62,271.19999999999993,274.3999999999999
0.622,271.19999999999993,274.3999999999999
0.624,271.19999999999993,274.3999999999999
0.626,271.19999999999993,274.3999999999999
0.628,271.19999999999993,274.3999999999999
0.63,271.19999999999993,274.3999999999999
0.632,271.19999999999993,274.3999999999999
0.634,271.19999999999993,274.3999999999999
0.636,271.19999999999993,274.3999999999999
0.638,271.19999999999993,274.3999999999999
0.64,271.19999999999993,274.3999999999999
0.642,271.19999999999993,274.3999999999999
0.644,271.19999999999993,274.3999999999999
0.646,271.19999999999993,274.3999999999999
0.648,271.19999999999993,274.3999999999999
0.65,271.19999999999993,274.3999999999999
0.652,271.19999999999993,274.3999999999999
0.654,271.19999999999993,274.3999999999999
0.656,271.19999999999993,274.3999999999999
0.658,271.19999999999993,274.3999999999999
0.66,271.19999999999993,274.3999999999999
0.662,271.19999999999993,274.3999999999999
0.664,271.19999999999993,274.3999999999999
0.666,271.19999999999993,274.3999999999999
0.668,271.19999999999993,274.3999999999999
0.67,271.19999999999993,274.3999999999999
0.672,271.19999999999993,274.3999999999999
0.674,271.19999999999993,274.3999999999999
0.676,271.19999999999993,274.3999999999999
0.678,271.19999999999993,274.3999999999999
0.68,271.19999999999993,274.3999999999999
0.682,271.19999999999993,274.3999999999999
0.684,271.19999999999993,274.3999999999999
0.686,271.19999999999993,274.3999999999999
0.6880000000000001,271.19999999999993,274.3999999999999
0.6900000000000001,271.19999999999993,274.3999999999999
0.6920000000000001,271.19999999999993,274.3999999999999
0.6940000000000001,271.19999999999993,274.3999999999999
0.6960000000000001,271.19999999999993,274.3999999999999
0.6980000000000001,271.19999999999993,274.3999999999999
0.7000000000000001,271.19999999999993,274.3999999999999
0.7020000000000001,271.19999999999993,274.3999999999999
0.704,271.19999999999993,274.3999999999999
0.706,271.19999999999993,274.3999999999999
0.708,271.19999999999993,274.3999999999999
0.71,271.19999999999993,274.3999999999999
0.712,271.19999999999993,274.3999999999999
0.714,271.19999999999993,274.3999999999999
0.716,271.19999999999993,274.3999999999999
0.718,271.19999999999993,274.3999999999999
0.72,271.19999999999993,274.3999999999999
0.722,271.19999999999993,274.3999999999999
0.724,271.19999999999993,274.3999999999999
0.726,271.19999999999993,274.3999999999999
0.728,271.19999999999993,274.3999999999999
0.73,271.19999999999993,274.3999999999999
0.732,271.19999999999993,274.3999999999999
0.734,271.19999999999993,274.3999999999999
0.736,271.19999999999993,274.3999999999999
0.738,271.19999999999993,274.3999999999999
0.74,271.19999999999993,274.3999999999999
0.742,271.19999999999993,274.3999999999999
0.744,271.19999999999993,274.3999999999999
0.746,271.19999999999993,274.3999999999999
0.748,271.19999999999993,274.3999999999999
0.75,271.19999999999993,274.3999999999999
0.752,271.19999999999993,274.3999999999999
0.754,271.19999999999993,274.3999999999999
0.756,271.19999999999993,274.3999999999999
0.758,271.19999999999993,274.3999999999999
0.76,271.19999999999993,274.3999999999999
0.762,271.19999999999993,274.3999999999999
0.764,271.19999999999993,274.3999999999999
0.766,271.19999999999993,274.3999999999999
0.768,271.19999999999993,274.3999999999999
0.77,271.19999999999993,274.3999999999999
0.772,271.19999999999993,274.3999999999999
0.774,271.19999999999993,274.3999999999999
0.776,271.19999999999993,274.3999999999999
0.778,271.19999999999993,274.3999999999999
0.78,271.19999999999993,274.3999999999999
0.782,271.19999999999993,274.3999999999999
0.784,271.19999999999993,274.3999999999999
0.786,271.19999999999993,274.3999999999999
0.788,271.19999999999993,274.3999999999999
0.79,271.19999999999993,274.3999999999999
0.792,271.19999999999993,274.3999999999999
0.794,271.19999999999993,274.3999999999999
